Actinidia_chinensis,NC_026690
Aegilops_tauschii,NC_022133
Aethionema_arabicum,NC_034367
Amaranthus_hypochondriacus,NC_030770
Amborella_trichopoda,NC_005086
Anacardium_occidentale,NC_035235
Ananas_comosus,NC_026220
Aquilegia_coerulea,NC_026103
Arabidopsis_halleri,NC_034366
Arabidopsis_lyrata,NC_034365
Arabidopsis_thaliana,NC_000932
Arabis_alpina,NC_023367
Arachis hypogaea,KX257487
Asparagus_officinalis,NC_034777
Azadirachta_indica,NC_023792
Barbarea_vulgaris,NC_009269
Beta_vulgaris,KJ081864
Betula_pendula,NC_033978
Boea_hygrometrica,NC_016468
Brachypodium_distachyon,NC_011032
Brassica_juncea,NC_028272
Brassica_napus,NC_016734
Brassica_nigra,NC_030450
Brassica_oleracea,KR233156
Cajanus_cajan,NC_031429
Camelina_sativa,NC_029337
Camellia_sinensis,NC_020019
Cannabis_sativa,NC_026562
Capsella_bursa-pastoris,NC_009270
Capsella_grandiflora,NC_028517
Capsella_rubella,NC_027693
Capsicum_annuum,NC_018552
Capsicum_chinense,NC_030543
Cardamine_hirsuta,NC_026445
Carica_papaya,NC_010323
Castanea_mollissima,NC_014674
Catharanthus_roseus,NC_021423
Chenopodium_quinoa,NC_034949
Cicer_arietinum,NC_011163
Citrullus_lanatus,NC_032008
Citrus_grandis,NC_034290
Citrus_sinensis,NC_008334
Coffea_arabica,NC_008535
Coffea_canephora,NC_030053
Cucumis_melo,NC_015983
Cucumis_sativus,NC_007144
Cucurbita_moschata,KT898813
Daucus_carota,NC_008325
Dianthus_caryophyllus,KM668208
Dichanthelium_oligosanthes,NC_030623
Elaeis_guineensis,NC_017602
Eragrostis_tef,NC_029413
Eucalyptus_camaldulensis,NC_022398
Eucalyptus_grandis,NC_014570
Fagopyrum_esculentum,NC_010776
Fagopyrum_tataricum,NC_027161
Ficus_carica,NC_035237
Fragaria_iinumae,NC_024258
Fragaria_nipponica,NC_035500
Fragaria_orientalis,NC_035501
Fragaria_vesca,NC_015206
Glycine_max,NC_007942
Glycine_soja,NC_022868
Glycyrrhiza_uralensis,KU862308
Gossypium_arboreum,NC_016712
Gossypium_barbadense,NC_008641
Gossypium_hirsutum,NC_007944
Gossypium_raimondii,NC_016668
Helianthus_annuus,NC_007977
Hevea_brasiliensis,NC_015308
Hordeum_vulgare,NC_008590
Humulus_lupulus,NC_028032
Idesia_polycarpa,NC_032060
Ipomoea_batatas,NC_026703
Ipomoea_nil,NC_031159
Ipomoea_trifida,NC_034670
Jatropha_curcas,NC_012224
Juglans_regia,NC_028617
Kalanchoe_fedtschenkoi,NC_023085
Lactuca_sativa,NC_007578
Leersia_perrieri,NC_034766
Lemna_minor,NC_010109
Lepidium_meyenii,NC_034363
Lolium_perenne,NC_009950
Lotus_japonicus,NC_002694
